name,state,faa
San Martin Airport,CA,E16
Sheppard Air Force Base-Wichita Falls Municipal Airport,TX,SPS
Cavern City Air Terminal,NM,CNM
Idaho Falls Regional Airport,ID,IDA
Tyler Pounds Regional Airport,TX,TYR
Bremerton National Airport,WA,PWT
Lawrence Municipal Airport,MA,LWM
Oakland County Intl,MI,PTK
University Park Airport,PA,UNV
Block Island State Airport,RI,BID
Borrego Valley Airport,CA,L08
Fort Collins Loveland Municipal Airport,CO,FNL
Southern Wisconsin Regional Airport,WI,JVL
Lake County Airport,CO,LXV
Palm Beach County Glades Airport,FL,PHK
Flagler County Airport,FL,FIN
Rio Vista Municipal Airport,CA,O88
Venice Municipal Airport,FL,VNC
Visalia Municipal Airport,CA,VIS
Abraham Lincoln Capital Airport,IL,SPI
Sioux Gateway Col. Bud Day Field,IA,SUX
Salina Municipal Airport,KS,SLN
Elko Regional Airport,NV,EKO
Tri Cities Airport,WA,PSC
Sawyer Intl,MI,SAW
Dupage Airport,IL,DPA
Concord Municipal Airport,NH,CON
Barstow Daggett Airport,CA,DAG
Page Field,FL,FMY
Destin Executive Airport,FL,DTS
Mariposa Yosemite Airport,CA,MPI
Ramona Airport,CA,RNM
Scappoose Industrial Airpark,OR,SPB
Tillamook Airport,OR,TMK
Williamsburg Jamestown Airport,VA,JGG
Willows Glenn County Airport,CA,WLW
MBS Intl,MI,MBS
Greater Binghamton/Edwin A Link field,NY,BGM
Chippewa Valley Regional Airport,WI,EAU
Central Nebraska Regional Airport,NE,GRI
Valley Intl,TX,HRL
Memorial Field,AR,HOT
Crater Lake-Klamath Regional Airport,OR,LMT
Lebanon Municipal Airport,NH,LEB
Lynchburg Regional Preston Glenn Field,VA,LYH
Glacier Park Intl,MT,GPI
St Paul Downtown Holman Field,MN,STP
Bowling Green Warren County Regional Airport,KY,BWG
Space Coast Regional Airport,FL,TIX
Yellowstone Airport,MT,WYS
Astoria Regional Airport,OR,AST
Needles Airport,CA,EED
Provo Municipal Airport,UT,PVU
Double Eagle II Airport,NM,AEG
Apple Valley Airport,CA,APV
Boulder City Municipal Airport,NV,BVU
Hernando County Airport,FL,BKV
Corona Municipal Airport,CA,AJO
Denton Municipal Airport,TX,DTO
Orcas Island Airport,WA,ORS
Georgetown Municipal Airport,TX,GTU
Vance Brand Airport,CO,LMO
Mojave Airport,CA,MHV
Witham Field,FL,SUA
Lafayette Regional Airport,LA,LFT
Arcata Airport,CA,ACV
Columbia Regional Airport,MO,COU
Columbus Metropolitan Airport,GA,CSG
East Texas Regional Airport,TX,GGG
Southwest Oregon Regional Airport,OR,OTH
Roswell International Air Center Airport,NM,ROW
Spirit of St Louis Airport,MO,SUS
Allegheny County Airport,PA,AGC
Tacoma Narrows Airport,WA,TIW
Aurora State Airport,OR,UAO
Merced Regional Macready Field,CA,MCE
Northeast Philadelphia Airport,PA,PNE
Clermont County Airport,OH,I69
Bend Municipal Airport,OR,BDN
Brenham Municipal Airport,TX,11R
Skagit Regional Airport,WA,BVS
Cameron Park Airport,CA,O61
Danbury Municipal Airport,CT,DXR
Lincoln Regional Karl Harder Field,CA,LHM
Marco Island Airport,FL,MKY
Oceano County Airport,CA,L52
North Central State Airport,RI,SFZ
Payson Airport,AZ,PAN
Monroe Regional Airport,LA,MLU
Alexandria Intl,LA,AEX
Minot Intl,ND,MOT
Pierre Regional Airport,SD,PIR
Reading Regional Carl A Spaatz Field,PA,RDG
Conroe-North Houston Regional Airport,TX,CXO
Hutchinson Municipal Airport,KS,HUT
Renner Field-Goodland Municipal Airport,KS,GLD
Greenville Downtown Airport,SC,GMU
San Marcos Regional Airport,TX,HYI
Richard Lloyd Jones Jr Airport,OK,RVS
Boulder Municipal Airport,CO,BDU
Crystal River Airport,FL,CGC
Furnace Creek Airport,CA,L06
Durango La Plata County Airport,CO,DRO
Fallbrook Community Airpark,CA,L18
Fitchburg Municipal Airport,MA,FIT
Fond du Lac County Airport,WI,FLD
Columbia County Airport,NY,1B1
Hampton Roads Executive Airport,VA,PVG
Santa Paula Airport,CA,SZP
Shelter Cove Airport,CA,0Q5
Harvey Field,WA,S43
Minute Man Air Field,MA,6B6
Dubuque Regional Airport,IA,DBQ
Garden City Regional Airport,KS,GCK
Arnold Palmer Regional Airport,PA,LBE
Barkley Regional Airport,KY,PAH
William R Fairchild Intl,WA,CLM
Rock Springs Sweetwater County Airport,WY,RKS
Salisbury Ocean City Wicomico Regional Airport,MD,SBY
New Castle Airport,DE,ILG
Rutland - Southern Vermont Regional Airport,VT,RUT
San Luis Valley Regional Bergman Field,CO,ALS
Merrill Field,AK,MRI
Brainerd Lakes Regional Airport,MN,BRD
Bryce Canyon Airport,UT,BCE
Coeur D'Alene - Pappy Boyington Field,ID,COE
Four Corners Regional Airport,NM,FMN
Ellington Airport,TX,EFD
Stinson Municipal Airport,TX,SSF
Tonopah Airport,NV,TPH
Philip Billard Municipal Airport,KS,TOP
Cape May County Airport,NJ,WWD
Winslow Lindbergh Regional Airport,AZ,INW
Ann Arbor Municipal Airport,MI,ARB
Arlington Municipal Airport,TX,GKY
Bakersfield Municipal Airport,CA,L45
George T Lewis Airport,FL,CDK
Yampa Valley Airport,CO,HDN
Whiteman Airport,CA,WHP
Anoka County-Blaine Arpt(Janes Field) Airport,MN,ANE
Canyonlands Field,UT,CNY
Northampton Airport,MA,7B2
New Century Aircenter Airport,KS,IXD
Sanford Seacoast Regional Airport,ME,SFM
Santa Ynez Airport,CA,IZA
Gatlinburg-Pigeon Forge Airport,TN,GKT
Albert Whitted Airport,FL,SPG
Shenandoah Valley Regional Airport,VA,SHD
Westerly State Airport,RI,WST
Destin-Ft Walton Beach Airport,FL,VPS
Florence Regional Airport,SC,FLO
Manhattan Regional Airport,KS,MHK
Key Field,MS,MEI
Pellston Regional Airport of Emmet County Airport,MI,PLN
Waterloo Regional Airport,IA,ALO
Rickenbacker Intl,OH,LCK
Fort Worth Alliance Airport,TX,AFW
Hickory Regional Airport,NC,HKY
Corvallis Municipal Airport,OR,CVO
Mobile Downtown Airport,AL,BFM
Kenosha Regional Airport,WI,ENW
Leesburg Intl,FL,LEE
Bowman Field,KY,LOU
San Bernardino Intl,CA,SBD
Wendover Airport,UT,ENV
Ashland Municipal Sumner Parker Field,OR,S03
St Louis Downtown Airport,IL,CPS
Cartersville Airport,GA,VPC
Concord Regional Airport,NC,JQF
Lee Gilmer Memorial Airport,GA,GVL
Nevada County Air Park,CA,GOO
Greeley?“Weld County Airport,CO,GXY
Little River Airport,CA,LLR
Los Banos Municipal Airport,CA,LSN
Mammoth Yosemite Airport,CA,MMH
Montauk Airport,NY,MTP
Ormond Beach Municipal Airport,FL,OMN
Oroville Municipal Airport,CA,OVE
Erie International Tom Ridge Field,PA,ERI
Southwest Georgia Regional Airport,GA,ABY
Ketchikan Intl,AK,KTN
Watertown Intl,NY,ART
New Bedford Regional Airport,MA,EWB
Youngstown Warren Regional Airport,OH,YNG
Tuscaloosa Regional Airport,AL,TCL
Smith Reynolds Airport,NC,INT
Yuba County Airport,CA,MYV
Findlay Airport,OH,FDY
Montrose Regional Airport,CO,MTJ
Central Wisconsin Airport,WI,CWA
Boca Raton Airport,FL,BCT
Calexico Intl,CA,CXL
Carson Airport,NV,CXP
Charleston Executive Airport,SC,JZI
Chehalis Centralia Airport,WA,CLS
Cross City Airport,FL,CTY
University Airport,CA,EDU
Front Range Airport,CO,FTG
East Hampton Airport,NY,HTO
Jack Edwards Airport,AL,JKA
Kerrville Municipal Louis Schreiner Field,TX,ERV
Knoxville Downtown Island Airport,TN,DKX
Lee's Summit Municipal Airport,MO,LXT
Lodi Airport,CA,1O3
Dare County Regional Airport,NC,MQI
John C Tune Airport,TN,JWN
Bermuda Dunes Airport,CA,UDD
St Clair County Intl,MI,PHN
Porterville Municipal Airport,CA,PTV
Reno-Stead Airport,NV,RTS
Sonoma Valley Airport,CA,0Q3
Marana Regional Airport,AZ,AVQ
Wickenburg Municipal Airport,AZ,E25
Joplin Regional Airport,MO,JLN
Southeast Texas Regional Airport,TX,BPT
Coastal Carolina Regional Airport,NC,EWN
Pocatello Regional Airport,ID,PIH
Roberts Field,OR,RDM
Andrews Air Force Base,MD,ADW
Gary Chicago Intl,IN,GYY
Bowerman Airport,WA,HQM
Mansfield Lahm Regional Airport,OH,MFD
Salem Municipal Airport/McNary Field,OR,SLE
Gallup Municipal Airport,NM,GUP
Schenectady County Airport,NY,SCH
Beverly Municipal Airport,MA,BVY
Eastern Sierra Regional Airport,CA,BIH
Deming Municipal Airport,NM,DMN
Hays Regional Airport,KS,HYS
Greater Kankakee Airport,IL,IKK
Mason City Municipal Airport,IA,MCW
Newport Municipal Airport,OR,ONP
Pullman Moscow Regional Airport,WA,PUW
Griffiss Intl,NY,RME
Sloulin Field Intl,ND,ISN
Angwin Parrett Field,CA,2O3
Auburn Opelika Robert G. Pitts Airport,AL,AUO
Brownwood Regional Airport,TX,BWD
Collin County Regional At Mc Kinney Airport,TX,TKI
Gillespie County Airport,TX,T82
Glendale Municipal Airport,AZ,GEU
Gunnison Crested Butte Regional Airport,CO,GUC
North Perry Airport,FL,HWO
Miami Homestead General Aviation Airport,FL,X51
West Houston Airport,TX,IWS
Immokalee Regional Airport,FL,IMM
