,title,release,distributor,director,rate,directorEff,actorEff,distributorEff,season,release.1,productContinent,showtime,trailershow,genre액션,genre범죄,genre드라마,genre코미디,genre어드벤처,genre멜로.로맨스,genreSF,genre다큐멘터리,genre공연,genre판타지,genre애니메이션,genre공포.호러.,genre성인물.에로.,genre사극,genre미스터리,star.1,firstppl,allpeople
59,쎄시봉,2015-02-05,씨제이이앤엠(주),김현석,15세이상관람가,1292794,2845126.722,1776720.043,0,목요일,아시아,122,442480,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,B,6641,1715370
60,어우동: 주인 없는 꽃,2015-01-29,(주)드림팩트엔터테인먼트,이수성,청소년관람불가,11142,4901.333333,7795.933333,0,목요일,아시아,101,203917,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C,2360,13233
61,서유기 : 모험의 시작,2015-02-05,"영화사 민들레,(주)씨타마운틴픽쳐스",주성치,12세이상관람가,7160,3316.666667,10138.04311,0,목요일,아시아,110,233500,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,B,1575,7702
62,폭스캐처,2015-02-05,그린나래미디어(주),베넷 밀러,청소년관람불가,25618,2153101.333,NA,0,목요일,북아메리카,134,772681,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,1535,26047
63,최강전사 미니특공대 : 새로운 악당의 습격,2015-02-05,에이원엔터테인먼트,이영준,전체관람가,155348,279679.5128,842.5,0,목요일,아시아,60,230479,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,1006,155348
64,엔드 오브 디 어스,2015-01-29,(주)콘텐츠판다,데렉 리,청소년관람불가,3047,1523.5,2208.4,0,목요일,북아메리카,85,156591,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,C,493,3047
65,맥베스,2015-01-24,(주)인스터피씨엠,에이드리언 노블,전체관람가,1236,NA,774.59375,0,토요일,북아메리카,113,476903,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,B,359,98440
66,바다 탐험대 옥토넛 스페셜,2015-02-05,와이드 릴리즈(주),니키 팰런,전체관람가,52238,83124.51282,12370.29167,0,목요일,유럽,70,57560,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,354,52381
67,이미테이션 게임,2015-02-17,메가박스(주)플러스엠,모튼 틸덤,15세이상관람가,1743936,349218.2222,300007.5714,1,화요일,유럽,114,339090,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,162,1744146
68,오마르,2015-02-05,(주)판다미디어,하니 아부 아사드,15세이상관람가,2723,1361.5,5239,0,목요일,중동,96,14360,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,126,2723
69,네이키드 걸,2015-01-22,스크린조이,데이빗 렌,청소년관람불가,254,127,1180.44898,0,목요일,북아메리카,83,5044,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C,118,254
70,익스트림 터미네이터,2015-01-22,스크린조이,앤드류 벨웨어,12세이상관람가,150.5,127,1180.44898,0,목요일,북아메리카,88,9574,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,D,118,254
71,망원동 인공위성,2015-02-05,(주)시네마달,김형주,12세이상관람가,2560,0,11917.26667,0,목요일,아시아,108,21721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,108,2972
72,"웰컴, 삼바",2015-02-18,(주)이수C&E,올리비에르 나카체,15세이상관람가,40321,235286,114270,1,수요일,유럽,120,82909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C,107,40321
73,봄의 멜로디,2015-01-22,(주)수키픽쳐스,폴린 챤,12세이상관람가,54,9085.5,650.3333333,0,목요일,오세아니아,97,3630,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D,54,54
74,미이라: 고대 전설의 부활,2015-01-22,(주)소나무픽쳐스,패트릭 맥마너스,15세이상관람가,305,0,1360.110169,0,목요일,북아메리카,97,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,D,47,47
75,베카스,2015-01-22,(주)소나무픽쳐스,카르잔 카데르,12세이상관람가,47,0,1360.110169,0,목요일,중동,93,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,47,47
76,성항기병,2015-01-22,(주)케이알씨지,맥당웅,청소년관람불가,910201.8425,0,489.7926829,0,목요일,아시아,106,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,4,4
77,이엠쓰리,2015-01-22,미카사미디어,조크스 야네스,청소년관람불가,1,0,1.25,0,목요일,북아메리카,94,2284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1
78,비치하트애솔,2015-01-29,골든타이드픽처스(주),이난,청소년관람불가,139.5,318.6666667,3295.125,0,목요일,아시아,100,279,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,D,74,279
79,제네시스: 세상의 소금,2015-02-26,㈜영화사 백두대간,빔 벤더스,12세이상관람가,7336,4890.666667,5146.285714,0,목요일,유럽,110,26509,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,177,7428
80,조선명탐정 : 사라진 놉의 딸,2015-02-11,(주)쇼박스,김석윤,12세이상관람가,3872015,2541044.978,2679115.4,0,수요일,아시아,125,512936,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,B,5789,3872015
81,오즈의 마법사: 돌아온 도로시,2015-02-12,(주)박수엔터테인먼트,윌 핀,전체관람가,298298,724685.3333,50816,0,목요일,북아메리카,91,238858,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,B,2259,298482
